mode,stream_count,connections,ops_per_sec,bytes_per_sec,mib_per_sec,p50,p99,backpressure,other_err,status,is_peak
ursula,10,8,147.13333333333333,2468487714.133333,2354.1,54.303,67.391,0,0,ok,False
ursula,10,32,148.6,2493094297.6,2377.6,190.847,547.327,0,0,ok,True
ursula,10,128,0.0,0.0,0.0,,,0,0,error,False
ursula,10,512,0.0,0.0,0.0,,,0,0,error,False
ursula,100,8,0.0,0.0,0.0,,,0,0,error,True
ursula,100,32,0.0,0.0,0.0,,,0,0,error,False
ursula,100,128,0.0,0.0,0.0,,,0,0,error,False
ursula,100,512,0.0,0.0,0.0,,,0,0,error,False
wal,10,8,139.06666666666666,2333151505.0666666,2225.1,57.119,76.415,0,0,ok,False
wal,10,32,149.0,2499805184.0,2384.0,218.623,248.831,0,0,ok,True
wal,10,128,0.0,0.0,0.0,,,0,0,error,False
wal,10,512,0.0,0.0,0.0,,,0,0,error,False
wal,100,8,135.66666666666666,2276108970.6666665,2170.7,57.887,82.239,0,0,ok,False
wal,100,32,148.86666666666667,2497568221.866667,2381.9,219.135,252.287,0,0,ok,True
wal,100,128,0.0,0.0,0.0,,,0,0,error,False
wal,100,512,0.0,0.0,0.0,,,0,0,error,False
