mode,stream_count,connections,ops_per_sec,bytes_per_sec,mib_per_sec,p50,p99,backpressure,other_err,status,is_peak
ursula,100,32,684.1333333333333,2802210.1333333333,2.7,22.959,177.791,0,0,ok,False
ursula,100,128,2696.266666666667,11043908.266666668,10.5,40.543,180.991,0,0,ok,False
ursula,100,512,10169.466666666667,41654135.46666667,39.7,62.463,187.263,0,0,ok,False
ursula,100,1024,19906.066666666666,81535249.06666666,77.8,74.047,185.087,0,0,ok,False
ursula,100,2048,41216.066666666666,168821009.06666666,161.0,88.767,179.839,0,0,ok,True
ursula,1000,32,86.73333333333333,355259.73333333334,0.3,610.303,1610.751,0,0,ok,False
ursula,1000,128,416.4,1705574.4,1.6,501.503,1386.495,0,0,ok,False
ursula,1000,512,1804.0,7389184.0,7.0,478.207,1307.647,0,0,ok,False
ursula,1000,1024,3702.866666666667,15166941.866666667,14.5,415.231,1312.767,0,0,ok,False
ursula,1000,2048,7411.066666666667,30355729.066666663,28.9,415.743,1308.671,0,0,ok,True
wal,100,32,1602.1333333333334,6562338.133333334,6.3,0.498,5.391,0,0,ok,False
wal,100,128,6408.266666666666,26248260.266666666,25.0,0.556,6.183,0,0,ok,False
wal,100,512,0.0,0.0,0.0,,,0,0,error,False
wal,100,1024,51272.13333333333,210010658.13333333,200.3,0.848,6.251,0,0,ok,False
wal,100,2048,102524.0,419938304.0,400.5,1.222,7.175,0,0,ok,True
wal,1000,32,1041.8666666666666,4267485.866666666,4.1,32.351,49.567,0,0,ok,False
wal,1000,128,4060.2,16630579.2,15.9,33.759,50.399,0,0,ok,False
wal,1000,512,16767.866666666665,68681181.86666666,65.5,32.959,48.895,0,0,ok,False
wal,1000,1024,33055.933333333334,135397102.93333334,129.1,34.463,52.351,0,0,ok,False
wal,1000,2048,62585.6,256350617.6,244.5,37.151,56.927,0,0,ok,True
