mode,stream_count,connections,ops_per_sec,bytes_per_sec,mib_per_sec,p50,p99,backpressure,other_err,status,is_peak
ursula,10,64,3204.266666666667,820292.2666666667,0.8,0.978,1.464,0,0,ok,False
ursula,10,256,12817.066666666668,3281169.066666667,3.1,1.357,1.937,0,0,ok,False
ursula,10,1024,51266.066666666666,13124113.066666666,12.5,1.934,3.251,0,0,ok,False
ursula,10,2048,102525.73333333334,26246587.733333334,25.0,2.069,3.885,0,0,ok,True
ursula,100,64,3084.4,789606.4,0.8,1.23,40.671,0,0,ok,False
ursula,100,256,11891.133333333331,3044130.1333333333,2.9,2.861,43.967,0,0,ok,False
ursula,100,1024,45495.4,11646822.4,11.1,1.727,55.519,0,0,ok,False
ursula,100,2048,82947.53333333334,21234568.533333335,20.3,1.751,61.439,0,0,ok,True
wal,10,64,3204.266666666667,820292.2666666667,0.8,0.402,0.664,0,0,ok,False
wal,10,256,12817.066666666668,3281169.066666667,3.1,0.577,0.97,0,0,ok,False
wal,10,1024,51268.26666666667,13124676.266666668,12.5,0.865,1.98,0,0,ok,False
wal,10,2048,102536.53333333334,26249352.533333335,25.0,0.99,2.531,0,0,ok,True
wal,100,64,3204.266666666667,820292.2666666667,0.8,0.275,0.48,0,0,ok,False
wal,100,256,12817.066666666668,3281169.066666667,3.1,0.676,1.336,0,0,ok,False
wal,100,1024,51271.933333333334,13125614.933333334,12.5,0.499,1.186,0,0,ok,False
wal,100,2048,102536.53333333334,26249352.533333335,25.0,0.623,1.34,0,0,ok,True
