config,subs,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,pod_mem_mb,pod_mem_p50_mb,events_per_sec
ursula disk,1,1.893,1.984,2.081,2.139,2.139,15,15,85.7
ursula disk,10,2.355,2.481,2.879,42.847,42.911,15,15,857.3
ursula disk,100,2.601,2.795,3.113,3.821,4.015,15,15,8557.0
ursula disk,1000,4.227,4.955,5.575,6.087,7.651,16,15,70559.3
ursula in-memory,1,0.988,1.082,1.189,1.295,1.295,15,15,85.7
ursula in-memory,10,1.102,1.213,1.337,45.503,45.567,15,15,857.3
ursula in-memory,100,1.422,1.601,1.754,1.873,2.151,15,15,8562.1
ursula in-memory,1000,3.275,4.087,4.759,5.203,6.011,16,15,75002.5
wal (cache off),1,0.998,1.085,1.172,1.261,1.261,6,5,85.7
wal (cache off),10,1.104,1.207,1.32,1.405,1.529,7,6,857.3
wal (cache off),100,1.455,1.635,1.826,2.211,2.603,11,10,8560.6
wal (cache off),1000,4.139,4.951,5.479,6.051,7.679,27,23,62331.0
wal (cache on),1,1.001,1.1,1.198,1.256,1.256,6,5,85.7
wal (cache on),10,1.088,1.186,1.313,1.415,1.475,6,6,857.3
wal (cache on),100,1.436,1.629,1.794,1.971,2.273,8,7,8561.6
wal (cache on),1000,3.723,4.655,5.207,5.623,6.123,26,21,79862.0
