mode,stream_count,sweep,level,readers,subscribers,writer_rate,read_rate,write_ops_per_sec,write_p50,write_p99,read_ops_per_sec,read_mib_per_sec,read_p50,read_p99,events_per_sec,delivery_p50,delivery_p99,write_bp,write_err,read_bp,read_err,status,reason
memory,2000,writer_rate,0,0,2000,0,0,61626.9,9.191,166.911,0.0,0.0,,,19046.066666666666,200.575,299.263,0,0,0,0,ok,complete
memory,2000,writer_rate,2,0,2000,2,0,4066.6666666666665,0.378,127.167,0.0,0.0,,,3866.6666666666665,0.406,132.607,0,0,0,0,ok,complete
memory,2000,writer_rate,8,0,2000,8,0,16050.933333333332,0.509,58.879,0.0,0.0,,,14676.966666666667,0.629,334.591,0,0,0,0,ok,complete
memory,2000,writer_rate,20,0,2000,20,0,39931.433333333334,11.591,82.431,0.0,0.0,,,15902.333333333334,226.687,362.239,0,0,0,0,ok,complete
memory,2000,writer_rate,33,0,2000,33,0,60841.96666666667,7.231,166.527,0.0,0.0,,,20597.4,206.591,299.263,0,0,0,0,ok,complete
wal,2000,writer_rate,0,0,2000,0,0,86268.53333333334,22.831,41.119,0.0,0.0,,,65537.13333333333,37.919,57.311,0,0,0,0,ok,complete
wal,2000,writer_rate,2,0,2000,2,0,4066.6666666666665,0.39,138.239,0.0,0.0,,,3339.6,0.422,162.559,0,0,0,0,ok,complete
wal,2000,writer_rate,8,0,2000,8,0,16050.666666666666,0.484,13.823,0.0,0.0,,,13323.9,0.525,15.447,0,0,0,0,ok,complete
wal,2000,writer_rate,20,0,2000,20,0,39981.433333333334,1.319,19.039,0.0,0.0,,,33210.566666666666,1.838,21.599,0,0,0,0,ok,complete
wal,2000,writer_rate,33,0,2000,33,0,65910.46666666666,9.239,29.183,0.0,0.0,,,65673.86666666667,10.167,44.735,0,0,0,0,ok,complete
