config,subs,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,pod_mem_mb,pod_mem_p50_mb,events_per_sec
ursula disk,1,1.307,1.41,1.528,2.315,2.315,15,14,85.7
ursula disk,10,1.822,1.976,2.261,41.215,41.247,14,14,857.3
ursula disk,100,2.135,2.391,2.761,3.373,3.605,14,13,8560.5
ursula disk,1000,4.247,5.199,5.867,6.503,7.611,14,13,75080.2
ursula in-memory,1,0.396,0.487,0.589,0.745,0.745,14,13,85.7
ursula in-memory,10,0.504,0.621,0.748,42.623,42.719,14,13,857.3
ursula in-memory,100,0.835,1.036,1.192,1.968,2.191,14,13,8564.2
ursula in-memory,1000,2.979,3.899,4.511,4.831,5.427,14,13,75206.5
wal (cache off),1,0.359,0.449,0.577,0.904,0.904,6,5,85.7
wal (cache off),10,0.482,0.598,0.717,0.855,0.931,7,6,857.3
wal (cache off),100,0.905,1.113,1.276,1.408,1.685,10,9,8560.9
wal (cache off),1000,3.645,4.531,5.079,5.387,5.743,19,18,75008.5
