mode,stream_count,sweep,level,readers,subscribers,writer_rate,read_rate,write_ops_per_sec,write_p50,write_p99,read_ops_per_sec,read_mib_per_sec,read_p50,read_p99,events_per_sec,delivery_p50,delivery_p99,write_bp,write_err,read_bp,read_err,status,reason
memory,2000,writer_rate,0,0,2000,0,0,139737.13333333333,9.423,47.615,0.0,0.0,,,139265.1,11.679,62.783,0,0,0,0,ok,complete
memory,2000,writer_rate,2,0,2000,2,0,4066.6666666666665,1.705,122.943,0.0,0.0,,,3339.0,0.929,139.519,0,0,0,0,ok,complete
memory,2000,writer_rate,8,0,2000,8,0,16051.533333333333,1.799,53.471,0.0,0.0,,,15946.133333333333,1.078,51.135,0,0,0,0,ok,complete
memory,2000,writer_rate,20,0,2000,20,0,39976.4,1.925,37.727,0.0,0.0,,,39816.73333333333,1.111,4.515,0,0,0,0,ok,complete
memory,2000,writer_rate,33,0,2000,33,0,65893.53333333334,2.189,63.167,0.0,0.0,,,65674.93333333333,1.242,6.623,0,0,0,0,ok,complete
wal,2000,writer_rate,0,0,2000,0,0,84265.16666666667,22.399,70.463,0.0,0.0,,,64053.333333333336,36.735,68.991,0,0,0,0,ok,complete
wal,2000,writer_rate,2,0,2000,2,0,4066.6666666666665,1.704,146.687,0.0,0.0,,,4000.0,1.015,147.327,0,0,0,0,ok,complete
wal,2000,writer_rate,8,0,2000,8,0,16051.533333333333,1.799,53.471,0.0,0.0,,,15946.133333333333,1.078,51.135,0,0,0,0,ok,complete
wal,2000,writer_rate,20,0,2000,20,0,39980.7,2.363,131.071,0.0,0.0,,,33258.73333333333,1.517,85.567,0,0,0,0,ok,complete
wal,2000,writer_rate,33,0,2000,33,0,65920.33333333333,10.735,304.383,0.0,0.0,,,65681.7,10.279,91.519,0,0,0,0,ok,complete
