mode,stream_count,connections,ops_per_sec,bytes_per_sec,mib_per_sec,p50,p99,backpressure,other_err,status,is_peak
ursula,10,8,147.06666666666666,2467369233.0666666,2353.1,54.143,66.303,0,0,ok,False
ursula,10,32,148.4,2489738854.4,2374.4,198.271,485.119,0,0,ok,False
ursula,10,128,154.33333333333334,2589283669.3333335,2469.3,807.423,1763.327,0,0,ok,False
ursula,10,512,181.4,3043386982.4,2902.4,3123.199,12099.583,0,0,ok,True
ursula,100,8,0.0,0.0,0.0,,,0,0,error,True
ursula,100,32,0.0,0.0,0.0,,,0,0,error,False
ursula,100,128,0.0,0.0,0.0,,,0,0,error,False
ursula,100,512,0.0,0.0,0.0,,,0,0,error,False
wal,10,8,142.06666666666666,2383483153.0666666,2273.1,56.447,62.239,0,0,ok,False
wal,10,32,149.53333333333333,2508753032.5333333,2392.5,217.727,248.831,0,0,ok,False
wal,10,128,148.0,2483027968.0,2368.0,904.703,1477.631,0,0,ok,False
wal,10,512,170.46666666666667,2859956087.4666667,2727.5,3753.983,5070.847,0,0,ok,True
wal,100,8,142.26666666666668,2386838596.266667,2276.3,56.319,62.303,0,0,ok,False
wal,100,32,149.13333333333333,2502042146.133333,2386.1,218.239,248.959,0,0,ok,False
wal,100,128,147.13333333333333,2468487714.133333,2354.1,941.567,1376.255,0,0,ok,False
wal,100,512,171.2,2872259379.2,2739.2,3721.215,4644.863,0,0,ok,True
