mode,stream_count,connections,ops_per_sec,bytes_per_sec,mib_per_sec,p50,p99,backpressure,other_err,status,is_peak
ursula,10,64,3204.266666666667,820292.2666666667,0.8,1.01,1.537,0,0,ok,False
ursula,10,256,12817.066666666668,3281169.066666667,3.1,1.385,1.888,0,0,ok,False
ursula,10,1024,51268.26666666667,13124676.266666668,12.5,2.049,3.663,0,0,ok,False
ursula,10,2048,102536.53333333334,26249352.533333335,25.0,1.975,3.021,0,0,ok,True
ursula,100,64,3120.4666666666667,798839.4666666667,0.8,1.263,40.415,0,0,ok,False
ursula,100,256,11833.2,3029299.2,2.9,2.603,44.479,0,0,ok,False
ursula,100,1024,46419.26666666667,11883332.266666668,11.3,1.46,54.143,0,0,ok,False
ursula,100,2048,81350.86666666667,20825821.866666667,19.9,1.916,62.303,0,0,ok,True
wal,10,64,3204.266666666667,820292.2666666667,0.8,1.031,3.243,0,0,ok,False
wal,10,256,12817.066666666668,3281169.066666667,3.1,1.155,4.583,0,0,ok,False
wal,10,1024,51268.26666666667,13124676.266666668,12.5,1.403,2.191,0,0,ok,False
wal,10,2048,102536.53333333334,26249352.533333335,25.0,1.95,5.319,0,0,ok,True
wal,100,64,3204.266666666667,820292.2666666667,0.8,0.955,10.839,0,0,ok,False
wal,100,256,12785.266666666666,3273028.2666666666,3.1,1.106,17.615,0,0,ok,False
wal,100,1024,50312.46666666667,12879991.466666669,12.3,1.481,32.063,0,0,ok,False
wal,100,2048,100037.66666666669,25609642.666666668,24.4,1.944,41.503,0,0,ok,True
