config,subscribers,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,events_per_sec
wal (cache off),1,0.382,0.457,0.556,0.648,0.648,85.7
wal (cache off),10,0.481,0.576,0.666,0.75,0.794,857.3
wal (cache off),100,0.838,1.019,1.172,1.46,1.835,8562.5
wal (cache off),1000,3.597,4.455,5.063,5.395,5.847,70327.8
wal (cache on),1,0.321,0.395,0.499,0.538,0.538,85.7
wal (cache on),10,0.454,0.557,0.649,0.702,0.747,857.3
wal (cache on),100,0.792,0.982,1.141,1.277,1.399,8565.6
wal (cache on),1000,2.853,3.725,4.295,4.631,4.871,75168.1
ursula in-mem,1,0.389,0.467,0.572,0.637,0.637,85.7
ursula in-mem,10,0.493,0.569,0.658,0.721,0.757,857.3
ursula in-mem,100,0.806,0.974,1.112,49.759,50.175,8561.7
ursula in-mem,1000,2.673,3.435,3.915,4.187,5.035,62339.8
ursula disk,1,0.411,0.479,0.627,1.374,1.374,85.7
ursula disk,10,0.497,0.584,0.704,94.975,95.039,857.3
ursula disk,100,0.867,1.059,1.203,2.105,2.393,8569.5
ursula disk,1000,2.945,3.861,4.499,4.979,5.667,85161.6
s2,10,51.327,51.487,52.031,52.255,52.287,167.9
s2,100,50.911,51.775,51.999,52.223,52.351,1677.3
s2,1000,52.159,53.247,54.015,54.271,54.399,14740.3
