config,subs,p99_ms,evps
ursula in-memory,1,0.572,85.73648836459428
ursula in-memory,10,0.658,857.3406320158143
ursula in-memory,100,1.112,8561.662811253647
ursula in-memory,1000,3.915,62339.77342339215
ursula disk,1,0.627,85.73745041185282
ursula disk,10,0.704,857.3358145031381
ursula disk,100,1.203,8569.521168492
ursula disk,1000,4.499,85161.63759887345
s2,1,NA,0.0
s2,10,52.031,167.85355897761394
s2,100,51.999,1677.323254802753
s2,1000,54.015,14740.32823188372
wal (cache off),1,0.556,85.73804267494955
wal (cache off),10,0.666,857.3391428724865
wal (cache off),100,1.172,8562.521242819314
wal (cache off),1000,5.063,70327.75190057904
wal (cache on),1,0.499,85.73730586052184
wal (cache on),10,0.649,857.3287638348623
wal (cache on),100,1.141,8565.56846418677
wal (cache on),1000,4.295,75168.09277120598
