mode,stream_count,sweep,level,readers,subscribers,writer_rate,read_rate,write_ops_per_sec,write_p50,write_p99,read_ops_per_sec,read_mib_per_sec,read_p50,read_p99,events_per_sec,delivery_p50,delivery_p99,write_bp,write_err,read_bp,read_err,status,reason
memory,50,writer_rate,0,0,100,0,0,29246.55,1.161,29.999,0.0,0.0,,,44327.75,3.295,34.751,0,0,0,0,ok,complete
memory,50,writer_rate,30,0,100,30,0,1502.5,0.73,5.663,0.0,0.0,,,3005.0,1.42,8.743,0,0,0,0,ok,complete
memory,50,writer_rate,120,0,100,120,0,6002.5,0.381,2.113,0.0,0.0,,,11999.5,0.764,3.453,0,0,0,0,ok,complete
memory,50,writer_rate,300,0,100,300,0,15001.1,0.401,2.685,0.0,0.0,,,29476.7,0.921,5.083,0,0,0,0,ok,complete
memory,50,writer_rate,475,0,100,475,0,23752.1,0.588,3.785,0.0,0.0,,,44981.9,1.305,8.463,0,0,0,0,ok,complete
wal,50,writer_rate,0,0,100,0,0,17144.0,2.283,20.255,0.0,0.0,,,34273.15,2.803,22.559,0,0,0,0,ok,complete
wal,50,writer_rate,30,0,100,30,0,1502.5,2.441,9.687,0.0,0.0,,,3005.0,3.201,12.351,0,0,0,0,ok,complete
wal,50,writer_rate,120,0,100,120,0,6002.45,0.709,7.895,0.0,0.0,,,12003.3,0.903,10.103,0,0,0,0,ok,complete
wal,50,writer_rate,300,0,100,300,0,14740.9,1.694,13.831,0.0,0.0,,,29475.0,2.145,17.167,0,0,0,0,ok,complete
wal,50,writer_rate,475,0,100,475,0,17380.5,2.281,19.119,0.0,0.0,,,34746.35,2.799,20.943,0,0,0,0,ok,complete
