ts_ms,rss_bytes,cpu_ticks
1781829064540,5902336,2
1781829065643,5902336,2
1781829066940,50110464,52
1781829068241,84320256,163
1781829069443,84320256,225
1781829070741,92708864,263
1781829072140,92708864,355
1781829073442,92708864,410
1781829074642,92839936,479
1781829075841,92839936,565
1781829077042,92839936,612
1781829078339,92839936,680
1781829079645,92839936,748
1781829080940,92839936,809
1781829082142,92839936,895
1781829083439,92839936,942
1781829084645,92971008,1076
1781829085845,101359616,1140
1781829087040,101359616,1232
1781829088340,101359616,1312
1781829089845,101359616,1411
1781829091142,101359616,1515
1781829092340,101359616,1597
1781829093643,101490688,1697
1781829094845,101490688,1775
1781829096045,101490688,1863
1781829097252,101490688,1877
1781829098641,101490688,1923
1781829099741,109748224,1958
1781829100942,109748224,1994
1781829102144,109748224,2030
1781829103441,109879296,2071
1781829104641,109879296,2107
