ts_ms,rss_bytes,cpu_ticks
1781829111202,5677056,1
1781829112400,5677056,1
1781829113604,5677056,1
1781829114804,5677056,1
1781829116002,5677056,1
1781829117201,5677056,2
1781829118401,5677056,2
1781829119503,5677056,2
1781829120900,5677056,2
1781829122002,5677056,2
1781829123299,5677056,2
1781829124603,5677056,2
1781829125801,5677056,2
1781829127002,5677056,3
1781829128103,5677056,3
1781829129304,5677056,3
1781829130701,5677056,3
1781829131805,5677056,3
1781829133002,5677056,3
1781829134201,5677056,3
1781829135305,5677056,3
1781829136600,5677056,3
1781829137802,5677056,3
1781829139005,5677056,3
1781829140200,5677056,3
1781829141404,5677056,3
1781829142606,5677056,3
1781829143900,5677056,3
1781829145103,5677056,3
1781829146206,5677056,3
1781829147404,5677056,3
1781829148601,5677056,3
1781829149800,5677056,3
1781829150903,5677056,3
1781829152104,5677056,3
1781829153400,5677056,3
1781829154600,5677056,3
1781829155802,5677056,3
1781829156904,5677056,3
1781829158104,5677056,3
1781829159300,5677056,3
1781829160502,5677056,3
1781829161701,5677056,3
1781829162905,5677056,3
1781829164200,5677056,3
1781829165304,5677056,3
1781829166501,5677056,3
1781829167604,5677056,3
1781829168801,5677056,3
1781829170004,5677056,3
1781829171205,5677056,3
1781829172501,5677056,3
1781829173604,5677056,3
1781829174802,5677056,3
1781829176001,5677056,3
1781829177105,5677056,3
1781829178403,5677056,3
1781829179702,5677056,3
1781829180900,5677056,3
1781829182004,5677056,3
1781829183205,5677056,3
1781829184500,5677056,3
1781829185700,5677056,3
1781829186903,5677056,3
1781829188101,5677056,3
1781829189303,5677056,3
1781829190501,5677056,3
1781829191700,5677056,3
1781829192805,5677056,3
1781829194004,5677056,3
1781829195205,5677056,3
1781829196503,5677056,3
1781829197700,5677056,3
1781829198902,5677056,3
1781829200004,5677056,3
1781829201300,5677056,3
1781829202503,5677056,3
1781829203802,5677056,3
1781829205101,5677056,3
1781829206303,5677056,3
1781829207603,5677056,3
1781829208804,5677056,4
1781829210004,5677056,4
1781829211203,5677056,4
1781829212499,5677056,4
1781829213700,5677056,4
1781829214900,5677056,4
1781829216005,5677056,4
1781829217299,5677056,4
1781829218404,5677056,4
1781829219601,5677056,4
1781829220801,5677056,4
1781829222000,5677056,4
1781829223200,5677056,4
1781829224401,5677056,4
1781829225606,5677056,4
1781829226899,5677056,4
1781829228101,5677056,4
1781829229299,5677056,4
1781829230504,5677056,4
1781829231804,5677056,4
1781829233002,5677056,4
1781829234300,5677056,4
1781829235500,5677056,4
1781829236700,5677056,4
1781829237901,5677056,4
1781829239102,5677056,4
1781829240300,5677056,4
1781829241601,5677056,4
1781829242803,5677056,4
1781829244102,5677056,4
1781829245305,5677056,4
1781829246601,5677056,4
1781829247801,5677056,4
1781829249001,5677056,4
1781829250205,5677056,4
1781829251502,5677056,4
1781829252700,5677056,4
1781829253901,5677056,4
1781829255200,5677056,4
1781829256304,5677056,4
1781829257603,5677056,4
1781829258899,5677056,4
1781829260005,5677056,4
1781829261202,5677056,4
1781829262303,5677056,4
1781829263699,5677056,4
1781829264804,5677056,4
1781829266005,5677056,4
1781829267303,5677056,4
1781829268601,5677056,4
1781829269801,5677056,4
1781829271000,5677056,4
1781829272201,5677056,4
1781829273405,5677056,4
1781829274601,5677056,4
1781829275704,5677056,4
1781829276904,5677056,4
1781829278300,5677056,4
1781829279404,5677056,4
1781829280603,5677056,4
1781829281803,5677056,4
1781829283001,5677056,4
1781829284203,5677056,4
1781829285401,5677056,4
1781829286505,5677056,4
1781829287900,5677056,4
1781829289100,5677056,4
1781829290204,5677056,4
1781829291402,5677056,4
1781829292604,5677056,4
1781829293901,5677056,4
1781829295100,5677056,4
1781829296205,5677056,4
