ts_ms,rss_bytes,cpu_ticks
1781828279192,13164544,11977
1781828280493,13295616,11978
1781828281692,18145280,12097
1781828282892,22208512,12574
1781828284093,22339584,13091
1781828285392,22339584,13570
1781828286592,22339584,14048
1781828287791,22339584,14526
1781828288897,22470656,15003
1781828290194,22470656,15520
1781828291294,22470656,15957
1781828292495,22994944,16434
1781828293795,22994944,16952
1781828294994,22994944,17429
1781828296095,22994944,17867
1781828297392,22994944,18344
1781828298495,22994944,18823
1781828299697,22994944,19301
1781828300896,22994944,19778
1781828302094,22994944,20257
1781828303197,22994944,20694
1781828304596,22994944,21252
1781828305795,23126016,21730
1781828307094,23126016,22246
1781828308292,23126016,22684
1781828309497,23126016,23203
1781828310692,23126016,23640
1781828311893,23126016,23962
1781828312996,23126016,23962
1781828314197,23126016,23962
1781828315394,23126016,23962
1781828316597,23126016,23962
1781828317794,23126016,23962
1781828318992,23126016,23962
1781828320096,23126016,23962
