mode,stream_count,connections,ops_per_sec,bytes_per_sec,mib_per_sec,p50,p99,backpressure,other_err,status,is_peak
ursula,10,8,146.86666666666667,2464013789.866667,2349.9,54.303,71.487,0,0,ok,False
ursula,10,32,148.66666666666666,2494212778.6666665,2378.7,196.863,546.303,0,0,ok,True
ursula,10,128,0.0,0.0,0.0,,,0,0,error,False
ursula,10,512,0.0,0.0,0.0,,,0,0,error,False
ursula,100,8,0.0,0.0,0.0,,,0,0,error,True
ursula,100,32,0.0,0.0,0.0,,,0,0,error,False
ursula,100,128,0.0,0.0,0.0,,,0,0,error,False
ursula,100,512,0.0,0.0,0.0,,,0,0,error,False
wal,10,8,140.4,2355521126.4,2246.4,56.095,77.119,0,0,ok,False
wal,10,32,147.66666666666666,2477435562.6666665,2362.7,220.799,293.375,0,0,ok,True
wal,10,128,0.0,0.0,0.0,,,0,0,error,False
wal,10,512,0.0,0.0,0.0,,,0,0,error,False
wal,100,8,129.8,2177682636.8,2076.8,60.959,84.607,0,0,ok,False
wal,100,32,148.4,2489738854.4,2374.4,220.927,261.375,0,0,ok,True
wal,100,128,0.0,0.0,0.0,,,0,0,error,False
wal,100,512,0.0,0.0,0.0,,,0,0,error,False
