mode,stream_count,connections,ops_per_sec,bytes_per_sec,mib_per_sec,p50,p99,backpressure,other_err,status,is_peak
ursula,100,32,639.0666666666667,2617617.066666667,2.5,62.591,183.167,0,0,ok,False
ursula,100,128,2718.866666666667,11136477.866666667,10.6,24.607,180.223,0,0,ok,False
ursula,100,512,10272.4,42075750.4,40.1,61.023,185.727,0,0,ok,False
ursula,100,1024,19866.8,81374412.8,77.6,74.367,185.471,0,0,ok,False
ursula,100,2048,41169.6,168630681.6,160.8,88.511,180.223,0,0,ok,True
ursula,1000,32,86.2,353075.2,0.3,614.399,1598.463,0,0,ok,False
ursula,1000,128,417.73333333333335,1711035.7333333334,1.6,501.503,1389.567,0,0,ok,False
ursula,1000,512,1809.5333333333333,7411848.533333333,7.1,477.439,1309.695,0,0,ok,False
ursula,1000,1024,3696.0,15138816.0,14.4,414.719,1312.767,0,0,ok,False
ursula,1000,2048,7407.933333333333,30342894.933333337,28.9,414.463,1312.767,0,0,ok,True
wal,100,32,1602.1333333333334,6562338.133333334,6.3,0.513,5.299,0,0,ok,False
wal,100,128,6408.533333333334,26249352.533333335,25.0,0.65,6.275,0,0,ok,False
wal,100,512,25632.2,104989491.2,100.1,0.688,5.915,0,0,ok,False
wal,100,1024,51268.26666666667,209994820.26666668,200.3,0.855,6.119,0,0,ok,False
wal,100,2048,102525.6,419944857.6,400.5,1.356,7.779,0,0,ok,True
wal,1000,32,1045.8666666666666,4283869.866666666,4.1,32.447,48.543,0,0,ok,False
wal,1000,128,4167.866666666667,17071581.866666667,16.3,32.863,47.199,0,0,ok,False
wal,1000,512,16523.866666666665,67681757.86666666,64.5,33.951,50.175,0,0,ok,False
wal,1000,1024,33363.333333333336,136656213.33333334,130.3,34.111,52.031,0,0,ok,False
wal,1000,2048,61548.53333333333,252102792.53333333,240.4,37.695,58.047,0,0,ok,True
