mode,stream_count,connections,ops_per_sec,bytes_per_sec,mib_per_sec,p50,p99,backpressure,other_err,status,is_peak
ursula,10,64,3204.266666666667,820292.2666666667,0.8,0.984,1.387,0,0,ok,False
ursula,10,256,12817.066666666668,3281169.066666667,3.1,1.34,1.841,0,0,ok,False
ursula,10,1024,51268.26666666667,13124676.266666668,12.5,1.517,2.03,0,0,ok,False
ursula,10,2048,102536.53333333334,26249352.533333335,25.0,1.865,2.797,0,0,ok,True
ursula,100,64,3112.0666666666666,796689.0666666667,0.8,1.178,40.927,0,0,ok,False
ursula,100,256,12012.8,3075276.8,2.9,1.605,43.615,0,0,ok,False
ursula,100,1024,45799.26666666667,11724612.266666668,11.2,1.475,55.487,0,0,ok,False
ursula,100,2048,82164.26666666666,21034052.266666666,20.1,1.958,61.375,0,0,ok,True
wal,10,64,3204.266666666667,820292.2666666667,0.8,0.426,0.733,0,0,ok,False
wal,10,256,12817.066666666668,3281169.066666667,3.1,0.754,1.357,0,0,ok,False
wal,10,1024,51275.13333333333,13126434.133333333,12.5,0.845,2.347,0,0,ok,False
wal,10,2048,102536.53333333334,26249352.533333335,25.0,1.164,2.227,0,0,ok,True
wal,100,64,3204.266666666667,820292.2666666667,0.8,0.328,0.573,0,0,ok,False
wal,100,256,12815.066666666668,3280657.066666667,3.1,0.411,0.904,0,0,ok,False
wal,100,1024,51268.26666666667,13124676.266666668,12.5,0.723,1.561,0,0,ok,False
wal,100,2048,102536.53333333334,26249352.533333335,25.0,0.793,2.489,0,0,ok,True
