mode,stream_count,pods,throughput,p50,p99,pod_mem_mb,pod_mem_p50_mb,saturated,status,reason
memory,100,16,436185.375,0.249,0.397,60,58,True,ok,plateau
wal,100,16,457133.875,0.235,0.38,95,14,True,ok,plateau
wal-tailcache,100,24,488139.625,0.232,0.377,69,68,True,ok,plateau
memory,1000,16,479132.875,1.846,6.659,46,37,True,ok,plateau
wal,1000,24,655482.875,1.429,5.087,37,27,True,ok,plateau
wal-tailcache,1000,16,565306.375,1.516,5.471,56,46,True,ok,plateau
memory,10000,32,575104.875,2.139,122.239,151,86,True,ok,plateau
wal,10000,32,815869.75,1.81,87.039,175,75,True,ok,plateau
wal-tailcache,10000,32,794364.625,1.823,90.623,170,115,True,ok,plateau
memory,100000,80,732216.125,3.047,867.327,736,374,True,ok,plateau
wal,100000,100,1560267.0,3.227,719.359,915,726,True,ok,plateau
wal-tailcache,100000,80,1734866.375,3.169,626.687,908,706,True,ok,plateau
memory,200000,100,534176.625,25.983,1686.527,781,311,True,ok,plateau
wal,200000,100,1503496.125,80.575,973.311,987,743,True,ok,plateau
wal-tailcache,200000,100,1414943.125,50.879,1158.143,775,489,True,ok,plateau
memory,500000,400,1329370.0,33.247,2099.199,752,491,True,ok,plateau
wal,500000,250,2045868.875,151.551,2609.151,857,513,True,ok,plateau
wal-tailcache,500000,250,1892514.75,127.359,1221.631,960,716,True,ok,plateau
