ts_ms,rss_bytes,cpu_ticks
1781844726191,134684672,23424
1781844727494,134684672,23429
1781844728791,142024704,23587
1781844730195,142024704,23781
1781844731494,142024704,23955
1781844732895,142024704,24139
1781844734193,142811136,24304
1781844735493,143859712,24443
1781844736791,143990784,24575
1781844737993,143990784,24719
1781844739391,143990784,24856
1781844740596,144121856,24996
1781844741894,144121856,25135
1781844743098,144121856,25262
1781844744391,144121856,25390
1781844745596,144121856,25532
1781844746894,144121856,25675
1781844748196,144121856,25813
1781844749494,144121856,25958
1781844750795,144121856,26098
1781844751993,144121856,26227
1781844753196,144121856,26281
1781844754493,144121856,26281
1781844755794,144121856,26282
1781844756995,144121856,26282
1781844758194,144121856,26282
1781844759592,144121856,26282
1781844760892,144121856,26282
1781844762094,144121856,26282
