ts_ms,rss_bytes,cpu_ticks
1781846087766,6078464,2
1781846088965,6078464,2
1781846090165,6078464,2
1781846091269,6078464,2
1781846092465,6209536,7
1781846093667,6602752,13
1781846094865,6864896,19
1781846096067,6864896,23
1781846097264,6995968,28
1781846098464,7127040,33
1781846099569,7127040,38
1781846100764,7127040,42
1781846102065,7127040,47
1781846103168,7127040,52
1781846104365,7127040,56
1781846105665,7127040,62
1781846106865,7127040,67
1781846107969,7127040,72
1781846109165,7127040,76
1781846110366,7127040,81
1781846111469,7127040,85
1781846112666,7127040,90
1781846113967,7127040,96
1781846115166,7127040,100
1781846116365,7127040,104
1781846117566,7127040,109
1781846118765,7127040,113
1781846119868,7127040,118
1781846121070,7127040,123
1781846122266,7127040,127
1781846123565,7127040,132
1781846124765,7127040,137
1781846125869,7258112,141
1781846127069,7258112,146
1781846128365,7258112,151
1781846129566,7258112,157
1781846130768,7389184,162
1781846131969,7389184,167
1781846133167,7520256,170
1781846134266,7520256,175
1781846135465,7520256,178
1781846136765,7520256,183
1781846137868,7520256,188
1781846139067,7520256,192
1781846140169,7520256,196
1781846141365,7520256,201
1781846142467,7520256,206
1781846143669,7520256,210
1781846144769,7520256,215
1781846145968,7520256,220
1781846147167,7520256,224
1781846148365,7520256,228
1781846149665,7520256,233
1781846150865,7520256,237
1781846151968,7520256,243
1781846153070,7520256,247
1781846154369,7520256,252
1781846155565,7520256,256
1781846156764,7520256,261
1781846157967,7520256,265
1781846159166,7520256,270
1781846160268,7651328,275
1781846161466,7651328,279
1781846162569,7651328,283
1781846163766,7651328,288
1781846164969,7651328,293
1781846166169,7651328,297
1781846167369,7651328,301
1781846168665,7651328,306
1781846169767,7651328,311
1781846170965,7651328,315
1781846172069,7651328,320
1781846173366,7651328,325
1781846174564,7651328,329
1781846175864,7651328,334
1781846176969,7651328,339
1781846178169,7782400,343
1781846179365,7782400,348
1781846180566,7782400,353
1781846181669,7782400,356
1781846182869,7782400,356
1781846184070,7782400,356
1781846185264,7782400,356
1781846186465,7782400,356
1781846187571,7782400,356
1781846188867,7782400,356
